Timestamp,Your name,Team,Games
6/28/2021 9:03:25,Nathan,Tampa Bay Lightning (3),6
6/28/2021 9:05:51,Marc,Montreal Canadiens (4),7
6/28/2021 9:08:33,Jake,Montreal Canadiens (4),7
6/28/2021 9:08:35,Robin,Montreal Canadiens (4),7
6/28/2021 9:08:49,Jaclyn,Tampa Bay Lightning (3),6
6/28/2021 9:09:12,Derrick,Montreal Canadiens (4),6
6/28/2021 9:46:47,Stephanie,Tampa Bay Lightning (3),5
6/28/2021 16:58:48,Theodore,Montreal Canadiens (4),4
6/28/2021 17:49:23,Nickall,Tampa Bay Lightning (3),6
6/28/2021 18:32:37,Ryan,Montreal Canadiens (4),5
6/28/2021 18:32:59,Glenda,Montreal Canadiens (4),6
6/28/2021 18:36:31,Benedict,Montreal Canadiens (4),4
6/28/2021 18:36:42,Jamie,Tampa Bay Lightning (3),4
6/28/2021 18:36:51,Kiersten,Montreal Canadiens (4),4
