Timestamp,Your name,Team,Games,Team,Games,Team,Games,Team,Games
5/4/2025 14:11:01,Marc,Florida Panthers,6,Carolina Hurricanes,7,Winnipeg Jets,7,Edmonton Oilers,7
5/4/2025 14:32:20,Jaclyn,Toronto Maple Leafs,6,Carolina Hurricanes,6,Winnipeg Jets,6,Edmonton Oilers,7
5/4/2025 14:45:09,Stephanie,Toronto Maple Leafs,6,Carolina Hurricanes,6,Dallas Stars,5,Vegas Golden Knights,5
5/4/2025 14:58:19,Glenda,Toronto Maple Leafs,5,Washington Capitals,5,Winnipeg Jets,5,Edmonton Oilers,7
5/4/2025 15:55:48,Theodore,Toronto Maple Leafs,5,Carolina Hurricanes,4,Dallas Stars,6,Edmonton Oilers,6
5/4/2025 15:57:13,Sophie,Toronto Maple Leafs,6,Carolina Hurricanes,4,Dallas Stars,6,Edmonton Oilers,5
5/4/2025 15:57:50,Nathan,Florida Panthers,6,Carolina Hurricanes,7,Dallas Stars,6,Vegas Golden Knights,7
5/4/2025 19:50:00,Derrick,Florida Panthers,6,Washington Capitals,6,Dallas Stars,6,Edmonton Oilers,6
5/4/2025 20:16:23,Benedict,Toronto Maple Leafs,6,Carolina Hurricanes,4,Dallas Stars,6,Edmonton Oilers,6
5/4/2025 20:18:28,Kiersten,Florida Panthers,5,Carolina Hurricanes,6,Winnipeg Jets,4,Edmonton Oilers,5
5/4/2025 20:19:44,Jamie,Florida Panthers,6,Washington Capitals,6,Dallas Stars,7,Edmonton Oilers,6
5/4/2025 20:20:20,Ryan,Toronto Maple Leafs,6,Washington Capitals,7,Dallas Stars,7,Edmonton Oilers,6
5/4/2025 20:21:12,Robin,Toronto Maple Leafs,5,Carolina Hurricanes,4,Dallas Stars,6,Edmonton Oilers,6
5/4/2025 20:23:10,Jake,Florida Panthers,6,Washington Capitals,5,Dallas Stars,5,Edmonton Oilers,5
