Timestamp,Your name,Team,Games,Team,Games,Team,Games,Team,Games
,Derrick,Colorado Avalanche (2),5,Vancouver Canucks (7),6,Philadelphia Flyers (1),6,Boston Bruins (4),6
,Glenda,Dallas Stars (3),5,Vancouver Canucks (7),7,Philadelphia Flyers (1),5,Boston Bruins (4),5
,Marc,Dallas Stars (3),6,Vegas Golden Knights (1),5,Philadelphia Flyers (1),6,Tampa Bay Lightning (2),7
,Nickall,Dallas Stars (3),6,Vegas Golden Knights (1),5,New York Islanders (7),6,Tampa Bay Lightning (2),7
,Jamie,Colorado Avalanche (2),4,Vancouver Canucks (7),6,New York Islanders (7),7,Tampa Bay Lightning (2),4
,Benedict,Colorado Avalanche (2),4,Vancouver Canucks (7),4,Philadelphia Flyers (1),5,Tampa Bay Lightning (2),7
,Kiersten,Dallas Stars (3),6,Vancouver Canucks (7),4,New York Islanders (7),5,Tampa Bay Lightning (2),4
,Jaclyn,Colorado Avalanche (2),6,Vegas Golden Knights (1),7,Philadelphia Flyers (1),5,Tampa Bay Lightning (2),7
,Ryan,Colorado Avalanche (2),6,Vegas Golden Knights (1),5,Philadelphia Flyers (1),6,Tampa Bay Lightning (2),6
,Jake,Colorado Avalanche (2),4,Vegas Golden Knights (1),4,New York Islanders (7),4,Boston Bruins (4),7
,Robin,Dallas Stars (3),4,Vancouver Canucks (7),4,Philadelphia Flyers (1),4,Boston Bruins (4),4
,Stephanie,Dallas Stars (3),5,Vancouver Canucks (7),6,Philadelphia Flyers (1),7,Tampa Bay Lightning (2),6
,Nathan,Colorado Avalanche (2),6,Vegas Golden Knights (1),5,New York Islanders (7),7,Tampa Bay Lightning (2),6
,Theodore,Colorado Avalanche (2),6,Vancouver Canucks (7),4,Philadelphia Flyers (1),7,Boston Bruins (4),5
